,Text,Tag,Value,doc_id,ID,Prediction
55,イ．〒９２６－０００７ 石川県七尾市三室町１６５部１番地,資格申請送付先;質問箇所所属/担当者;開札場所,９２６－０００７石川県七尾市三町１６５部１;〒９２６－０００７石川県七尾市三室町１６５部１番地石七尾;県市,300351813,300351813-56,
56,独立行政法人石油天然ガス・金属鉱物資源機構,,,300351813,300351813-57,
57,七尾事務所 鈴木 悟（不在時：清田 裕雄）,資格申請送付先部署/担当者名,七尾事務所鈴木悟（不在時：清田裕雄,300351813,300351813-58,
58,ＴＥＬ：０７６７－５８－８７８７ ＦＡＸ：０７６７－５８－８７８９,質問箇所TEL/FAX,０７６７－５８－８７８７０７６７－５８－８７８９,300351813,300351813-59,
59,Ｅ－ＭＡＩＬ：suzuki-satoru@jogmec.go.jp（鈴木）,,,300351813,300351813-60,
60,kiyoda-hiroo@jogmec.go.jp（清田）,,,300351813,300351813-61,
61,（２）入札説明書の交付期限と場所,,,300351813,300351813-62,
62,入札参加希望者に、以下のアの交付期限の日までに、イの交付場所において、入札,,,300351813,300351813-63,
63,説明資料の一式を配付する。,,,300351813,300351813-64,
64,ア．交付期限：平成３０年２月２０日（火）１６時００分,仕様書交付期限,平成３０年２月２０日（火）１６時００分,300351813,300351813-65,
65,イ．交付場所：前記（１）ア又はイ,,,300351813,300351813-66,
66,ウ．交付時間：９時００分から１６時００分まで,,,300351813,300351813-67,
67,土曜、日曜、祝日は休業。来所する際は、事前に電話連絡を入れる,,,300351813,300351813-68,
68,こと。,,,300351813,300351813-69,
69,（３）入札説明書の質問受付期間,,,300351813,300351813-70,
70,入札説明資料等に関する質問は、平成３０年２月２３日（金）の１６時００分まで,質問票締切日時,平成３０年２月２３日（金）の１６時００分,300351813,300351813-71,
71,とし、前記（１）のア又はイにて受け付ける。,,,300351813,300351813-72,
72,（４）入札説明会の日時及び場所,,,300351813,300351813-73,
73,ア．日 時：平成３０年２月２３日（金）１４時００分,,,300351813,300351813-74,
74,イ．場 所：前記（１）のイ ２階会議室,,,300351813,300351813-75,
75,（５）入札参加の申し込み,,,300351813,300351813-76,
76,2,,,300351813,300351813-77,
77,入札参加希望者は、以下のアの提出期限までに、イの提出場所へ必要な書類を提出,,,300351813,300351813-78,
78,すること。郵送、ＦＡＸ及びＥ－ＭＡＩＬによる申請は認めない。,,,300351813,300351813-79,
79,ア．提出期限：平成３０年２月２６日（月）１６時００分,入札書締切日時;資格申請締切日時,平成３０年２月２６日（月）１６時００;平成３０年２月２６日（月）１６時００分,300351813,300351813-80,
80,イ．提出場所：前記（１）のイ ２階事務所,開札場所,前記２階事務所,300351813,300351813-81,
81,ウ．提出時間：９時００分から１６時００分まで,,,300351813,300351813-82,
82,土曜、日曜、祝日は休業。来所する際は、事前に電話連絡を入れる,,,300351813,300351813-83,
83,こと。,,,300351813,300351813-84,
84,エ．必要な書類,,,300351813,300351813-85,
85,（ア）一般競争入札参加申請書,,,300351813,300351813-86,
86,（イ）機構競争参加資格者決定通知書「物品の販売（その他（電力））」の写し,,,300351813,300351813-87,
87,（ウ）本公告に示した調達品を納入できることを証明する書類,,,300351813,300351813-88,
88,（６）入札書の提出及び開札の日時及び場所,,,300351813,300351813-89,
89,ア．日 時：平成３０年３月９日（金）９時００分,開札日時,時平成３０年３月９日（金）９時００分,300351813,300351813-90,
90,イ．場 所：前記（１）のイ ２階会議室,開札場所,場所：前記（１）のイ２階会議室,300351813,300351813-91,
91,４．入札保証金及び契約保証金に関する事項,,,300351813,300351813-92,
92,全額免除,,,300351813,300351813-93,
93,５．その他必要な事項,,,300351813,300351813-94,
94,（１）契約手続において使用する言語及び通貨,,,300351813,300351813-95,
95,日本語及び日本国通貨,,,300351813,300351813-96,
96,（２）入札者に要求される事項,,,300351813,300351813-97,
97,入札者は、入札日の前日(平成３０年３月８日(木))までの間において、契約担当役,仕様書交付期限,平成３０年３月８日木,300351813,300351813-98,
98,から３．（５）エ（ウ）の書類等に関して照会があった場合には、それに応じなければ,,,300351813,300351813-99,
99,ならない。,,,300351813,300351813-100,
100,（３）入札の無効,,,300351813,300351813-101,
101,競争に参加する資格を有しない者がした入札及び入札の条件に違反した入札は無効,,,300351813,300351813-102,
102,とする。,,,300351813,300351813-103,
103,（４）契約書作成の要否 要,,,300351813,300351813-104,
104,（５）落札者の決定方法,,,300351813,300351813-105,
105,本公告に示した調達品を納入できると契約担当役が判断した入札者であって、予定,,,300351813,300351813-106,
106,価格の制限の範囲内で有効な入札を行った者のうち、最も低い価格をもって入札した,,,300351813,300351813-107,
107,者を落札者とする。ただし、落札者となるべき者の入札価格によっては、その者によ,,,300351813,300351813-108,
108,り当該契約の内容に適合した履行がなされないおそれがあると認められるとき、又は,,,300351813,300351813-109,
109,その者と契約することが公正な取引の秩序を乱すこととなるおそれがあって著しく不,,,300351813,300351813-110,
110,適当であると認められるときは、予定価格の範囲内の価格をもって入札をした他の者,,,300351813,300351813-111,
111,のうち、最低の価格をもって入札をしたものを落札者とすることがある。,,,300351813,300351813-112,
112,（６）手続きにおける交渉の有無 無,,,300351813,300351813-113,
113,（７）詳細は入札説明書による。,,,300351813,300351813-114,
114,（８）その他 本業務に係る契約締結は、平成３０年度国家石油ガス管理等業務を機構が,,,300351813,300351813-115,
115,受託することを条件とする。予算状況により変更となる場合がある旨、予め了承の,,,300351813,300351813-116,
0,入 札 公 告,,,300364954,300364954-1,
1,次のとおり一般競争入札に付します。,,,300364954,300364954-2,
2,令和元年12月12日,公告日,令和元年12月12日,300364954,300364954-3,
3,独立行政法人石油天然ガス・金属鉱物資源機構,,,300364954,300364954-4,
4,契約担当役 理事 定光 裕樹,,,300364954,300364954-5,
5,◎調達機関番号 586 ◎所在地番号13,,,300364954,300364954-6,
6,１．競争入札に付する事項,,,300364954,300364954-7,
7,（１）品目分類番号 71,,,300364954,300364954-8,
8,（２）件名 外部公開システムにおけるセキュリティ監視業務,入札件名,外部公開システムにおけるセキュリティ監視業務,300364954,300364954-9,
9,（３）業務内容 機構が保有する機器による外部公開システムの監視業務,,,300364954,300364954-10,
10,（４）契約期間 令和2年4月1日～令和5年3月31日（36か月）,調達年度;調達終了日;調達開始日,令和2年;令和5年3月31日;令和2年4月1日,300364954,300364954-11,
11,（５）入札方法,,,300364954,300364954-12,
12,一般競争入札,,,300364954,300364954-13,
13,入札金額は業務請負契約期間中における総価（36か月分）を記載すること。なお、,,,300364954,300364954-14,
14,落札者の決定に当たっては入札書に記載された金額に当該金額の１０パーセントに,,,300364954,300364954-15,
15,相当する額を加算した金額（当該金額に１円未満の端数があるときは、その端数を切,,,300364954,300364954-16,
16,り捨てた金額）をもって落札価格とするので、入札者は消費税及び地方消費税に係る,,,300364954,300364954-17,
17,課税事業者であるか免税事業者であるかを問わず、見積った価格の１１０分の１０,,,300364954,300364954-18,
18,０に相当する金額を入札書に記載すること。,,,300364954,300364954-19,
19,２．競争に参加する者に必要な資格に関する事項,,,300364954,300364954-20,
20,下記全ての条件を満たすものとする。,,,300364954,300364954-21,
21,（１）独立行政法人石油天然ガス・金属鉱物資源機構の「競争参加者の資格に関する公示」,,,300364954,300364954-22,
22,の「３競争に参加することができない者」に該当しない者であること。,,,300364954,300364954-23,
23,（２）国内の法人又は個人については、令和０１・０２・０３年度（平成３１・３２・３,,,300364954,300364954-24,
24,３年度）競争参加資格（全省庁統一資格）の「役務の提供等」の「情報処理」で「A」,,,300364954,300364954-25,
25,若しくは「B」の等級に格付けされている者、又は当該競争参加資格を有していな,,,300364954,300364954-26,
26,い者で、入札日までに競争参加者資格審査を受け、当該等級に格付けされた者であ,,,300364954,300364954-27,
27,ること。,,,300364954,300364954-28,
28,（３）現在、国又は政府関係機関等から補助金交付の停止又は契約に係る指名停止等の,,,300364954,300364954-29,
29,行政処分を受けていないこと。,,,300364954,300364954-30,
30,（４）本公告に示した監視業務を実施できることを証明するため、下記①～③の条件を満たした書類を令和2年1月 24日（金）16時までに持参、郵送、FAX、電子メールへの添付等の方法により提出すること。,,,300364954,300364954-31,
31,なお、該当資格を有しない者にのみ令和2年1月31日（金）16時までに、通知を行う。,,,300364954,300364954-32,
32,① 適合証明書（入札説明書に様式あり）,,,300364954,300364954-33,
33,② 導入計画書（契約締結後から業務開始までの作業工程等）,,,300364954,300364954-34,
34,③ 情報セキュリティマネジメントシステム(ISMS)認証 (ISO/IEC 27001)又はプ,,,300364954,300364954-35,
35,ライバシーマークの証書,,,300364954,300364954-36,
36,（５）下記３．（３）の入札説明会における入札説明書の交付を受けた者。,,,300364954,300364954-37,
37,３．契約条項を示す場所等,,,300364954,300364954-38,
38,（１）契約条項を示す場所及び問い合わせ先,,,300364954,300364954-39,
39,〒105-0001,,,300364954,300364954-40,
40,東京都港区虎ノ門二丁目１０番１号 虎ノ門ツインビルディング,質問箇所所属/担当者,１００００１東京都港区虎ノ門二丁目１０番１号虎ノ門ツインビルディング,300364954,300364954-41,
41,独立行政法人石油天然ガス・金属鉱物資源機構,,,300364954,300364954-42,
42,総務部情報システム課 青砥又は針替,,,300364954,300364954-43,
43,Tel 03-6758-8688 Fax 03-6758-8055,質問箇所TEL/FAX,03-6758-868803-6758-8055,300364954,300364954-44,
44,E-Mail nyusatsu_isdiv@jogmec.go.jp,,,300364954,300364954-45,
45,（２）入札説明書の交付方法,,,300364954,300364954-46,
46,入札参加希望者に、下記３．（３）の入札説明会にて交付する。,,,300364954,300364954-47,
47,（３）入札説明会の日時及び場所,,,300364954,300364954-48,
48,令和元年12月25日（水）11時00分,,,300364954,300364954-49,
49,上記３．（１）の16GH会議室,,,300364954,300364954-50,
50,※入札説明会の参加希望者は令和元年 12 月 24 日（火）16 時までに、本公告と合わせて掲載している「入札説明会参加申込書」をE-Mail（上記３．（１）に記載）にて提出すること。,,,300364954,300364954-51,
51,（３）入札書の提出及び開札の日時及び場所,,,300364954,300364954-52,
52,令和2年2月4日（火）11時00分,入札書締切日時;開札日時,令和2年2月4日（火）11時00分;令和2年2月4日（火）11時00分,300364954,300364954-53,
53,上記３．（１）の15AB会議室,開札場所,15AB会議室,300364954,300364954-54,
54,５．入札保証金及び契約保証金に関する事項,,,300364954,300364954-55,
55,全額免除,,,300364954,300364954-56,
56,６．その他必要な事項,,,300364954,300364954-57,
57,（１）入札の無効 競争に参加する資格を有しない者がした入札及び入札の条件に違反した入札は無効とする。,,,300364954,300364954-58,
58,（２）入札説明会の有無 有,,,300364954,300364954-59,
59,（３）契約書作成の要否 要,,,300364954,300364954-60,
60,（４）落札者定方法 予定価格の制限の範囲内で有効な入札を行った者のうち、最も低い,,,300364954,300364954-61,
61,価格をもって入札した者を落札者とする。ただし、落札者となるべき者の入札価格,,,300364954,300364954-62,
62,によっては、その者により当該契約の内容に適合した履行がなされないおそれが,,,300364954,300364954-63,
63,あると認められるとき、又はその者と契約することが公正な取引の秩序を乱すこ,,,300364954,300364954-64,
64,ととなるおそれがあって著しく不適当であると認められるときは、予定価格の範,,,300364954,300364954-65,
65,囲内の価格をもって入札をした他の者のうち、最低の価格をもって入札をしたも,,,300364954,300364954-66,
66,のを落札者とすることがある。,,,300364954,300364954-67,
67,（５）手続きにおける交渉の有無 無,,,300364954,300364954-68,
68,○契約の公表に係る留意事項,,,300364954,300364954-69,
69,独立行政法人が行う契約については、「独立行政法人の事務・事業の見直しの基本方針」,,,300364954,300364954-70,
70,（平成２２年１２月７日閣議決定）において、独立行政法人と一定の関係を有する法人と契,,,300364954,300364954-71,
71,約をする場合には、当該法人への再就職の状況、当該法人との間の取引等の状況について,,,300364954,300364954-72,
72,情報を公開するなどの取組を進めるとされているところです。,,,300364954,300364954-73,
73,これに基づき、以下のとおり、当機構との関係に係る情報を当機構のホームページで公,,,300364954,300364954-74,
74,表することとしますので、所要の情報の当方への提供及び情報の公表に同意の上で、応札,,,300364954,300364954-75,
75,若しくは応募又は契約の締結を行っていただくよう御理解と御協力をお願いいたします。,,,300364954,300364954-76,
76,なお、案件への応札若しくは応募又は契約の締結をもって同意されたものとみなさせ,,,300364954,300364954-77,
77,ていただきますので、ご了知願います。,,,300364954,300364954-78,
78,（１）公表の対象となる契約先,,,300364954,300364954-79,
79,次のいずれにも該当する契約先,,,300364954,300364954-80,
80,①当機構において役員を経験した者（役員経験者）が再就職していること又は課長,,,300364954,300364954-81,
81,相当職以上の職を経験した者（課長相当職以上経験者）が役員、顧問等として再,,,300364954,300364954-82,
82,就職していること,,,300364954,300364954-83,
83,②当機構との間の取引高が、総売上高又は事業収入の３分の１以上を占めている,,,300364954,300364954-84,
84,こと,,,300364954,300364954-85,
85,※予定価格が一定の金額を超えない契約や光熱水費の支出に係る契約等は対象外,,,300364954,300364954-86,
86,（２）公表する情報,,,300364954,300364954-87,
87,上記に該当する契約先について、契約ごとに、物品役務等の名称及び数量、契約締,,,300364954,300364954-88,
88,結日、契約先の名称、契約金額等と併せ、次に掲げる情報を公表します。,,,300364954,300364954-89,
89,①当機構の役員経験者及び課長相当職以上経験者（当機構ＯＢ）の人数、職名及び,,,300364954,300364954-90,
90,当機構における最終職名,,,300364954,300364954-91,
91,②当機構との間の取引高,,,300364954,300364954-92,
92,③総売上高又は事業収入に占める当機構との間の取引高の割合が、次の区分のいずれかに該当する旨,,,300364954,300364954-93,
93,３分の１以上２分の１未満、２分の１以上３分の２未満又は３分の２以上,,,300364954,300364954-94,
94,④一者応札又は一者応募である場合はその旨,,,300364954,300364954-95,
95,（３）当方に提供していただく情報,,,300364954,300364954-96,
96,①契約締結日時点で在職している当機構ＯＢに係る情報（人数、現在の職名及び当,,,300364954,300364954-97,
97,機構における最終職名等）,,,300364954,300364954-98,
98,②直近の事業年度における総売上高又は事業収入及び当機構との間の取引高,,,300364954,300364954-99,
99,（４）公表日,,,300364954,300364954-100,
100,契約締結日の翌日から起算して原則として７２日以内,,,300364954,300364954-101,
0,入 札 公 告,,,300365026,300365026-1,
1,次のとおり一般競争入札に付します。,,,300365026,300365026-2,
2,令和元年12月11日,公告日,令和元年12月11日,300365026,300365026-3,
3,独立行政法人石油天然ガス・金属鉱物資源機構,,,300365026,300365026-4,
4,契約担当役 石油天然ガス開発技術本部長 江波戸 俊和,,,300365026,300365026-5,
5,１．競争入札に付する事項,,,300365026,300365026-6,
6,（１）件名 MATLAB追加モジュールの購入について（電子入札対象案件）,入札件名,MATLAB追加モジュールの購入について（電子入札対象案件）,300365026,300365026-7,
7,（２）内容 MATLAB追加モジュールの売買契約,,,300365026,300365026-8,
8,（３）納品期限 令和２年１月３１日まで,調達終了日,令和２年１月３１日,300365026,300365026-9,
9,（４）納品場所 千葉県千葉市美浜区浜田一丁目2番2号,都道府県;需要場所(住所),千葉県;千葉県千葉市美浜区浜田一丁目2番2号,300365026,300365026-10,
10,独立行政法人石油天然ガス・金属鉱物資源機構技術センター,施設名,独立行政法人石油天然ガス・金属鉱物資源機構技術センター,300365026,300365026-11,
11,（５）調達物品,,,300365026,300365026-12,
12,MATLAB追加モジュール,,,300365026,300365026-13,
13,詳細は、入札説明書による。,,,300365026,300365026-14,
14,（６）入札方法,,,300365026,300365026-15,
15,一般競争入札,,,300365026,300365026-16,
16,入札金額は調達物品の総価を記載すること。なお、落札者の決定に当たっては入札書,,,300365026,300365026-17,
17,に記載された金額に当該金額の１０パーセントに相当する額を加算した金額（当該金,,,300365026,300365026-18,
18,額に１円未満の端数があるときは、その端数を切り捨てた金額）をもって落札価格と,,,300365026,300365026-19,
19,するので、入札者は消費税及び地方消費税に係る課税事業者であるか免税事業者であ,,,300365026,300365026-20,
20,るかを問わず、見積った価格の１１０分の１００に相当する金額を入札書に記載する,,,300365026,300365026-21,
21,こと。,,,300365026,300365026-22,
22,尚、本件は、電子入札システムを利用した入開札手続きにより行う。,,,300365026,300365026-23,
23,２．競争に参加する者に必要な資格に関する事項,,,300365026,300365026-24,
24,下記すべての条件を満たす者について競争に参加する資格を付与するものとする。,,,300365026,300365026-25,
25,（１）独立行政法人石油天然ガス・金属鉱物資源機構（以下「当機構」という)の「競争参,,,300365026,300365026-26,
26,加者の資格に関する公示」の「３．競争に参加することができない者」に該当しない,,,300365026,300365026-27,
27,者であること。,,,300365026,300365026-28,
28,（２）令和０１・０２・０３年度(平成３１・３２・３３年度)競争参加資格（全省庁統一資,,,300365026,300365026-29,
29,格）における「物品の販売」で「Ａ」、「Ｂ」、「Ｃ」若しくは「Ｄ」の等級に格付,,,300365026,300365026-30,
30,けされている者であること。当該参加資格を有していない者で、一般競争等参加者資,,,300365026,300365026-31,
31,格審査を受け、入札執行時までに当該等級に格付けされた者であること。,,,300365026,300365026-32,
32,（３）現在、国又は政府関係機関等から補助金交付の停止又は契約に係る指名停止等の行政,,,300365026,300365026-33,
33,処分を受けていないこと。,,,300365026,300365026-34,
34,（４）電子入札システムを利用するための利用者登録をしている者であること。,,,300365026,300365026-35,
35,（電子入札システムへの参加については、当機構ホームページをご参照ください。）,,,300365026,300365026-36,
36,（５）下記３．（２）における入札説明書の交付を受けた者。,,,300365026,300365026-37,
37,（６）本公告に示した購入物件を納入・保守できることを証明するため、下記①の書類（詳細は入札説明書参照）を別途指定する日までに下記３．（１）の場所に提出の上、当機構担当職員より認められた者。,,,300365026,300365026-38,
38,①仕様適合物品・数量納入証明書,,,300365026,300365026-39,
39,調達ソフトウェアの仕様、数量を満たすことを証明する書類,,,300365026,300365026-40,
40,３．契約条項を示す場所等,,,300365026,300365026-41,
41,（１）契約条項を示す場所及び問合せ先,,,300365026,300365026-42,
42,〒261-0025,,,300365026,300365026-43,
43,千葉県千葉市美浜区浜田一丁目２番２号,入札書送付先;資格申請送付先,２２千葉県千葉市美浜区浜田一丁目２番２号;２,300365026,300365026-44,
44,独立行政法人石油天然ガス・金属鉱物資源機構,,,300365026,300365026-45,
45,石油天然ガス開発技術本部 管理・研修部 管理課,資格申請送付先部署/担当者名;質問箇所所属/担当者,石油天然ガス・石油天然ガス開発技術本部管理・研修部管理課;石油天然ガス・石油天然ガス開発技術本部管理・研修部管理課,300365026,300365026-46,
46,担当：太田又は瀬沼 E-mail:trc-nyuusatsu26@jogmec.go.jp,,,300365026,300365026-47,
47,（ただし、仕様に関する問い合わせのみ、大場が受付）,,,300365026,300365026-48,
48,（２）入札説明書の交付方法,,,300365026,300365026-49,
49,入札参加希望者に、上記（１）において本公告の日から令和元年12月18日（水）までの間電子メール及び手交にて配付する。（交付時間：平日の10:00～12:00、13:30～17:00）,仕様書交付期限,令和元年12月18日（水）17:00,300365026,300365026-50,
50,（３）入札説明会の開催の有無,,,300365026,300365026-51,
51,無し,,,300365026,300365026-52,
52,（４）一般競争入札参加申請書の提出期限,,,300365026,300365026-53,
53,令和元年12月23日（月）15時00分,資格申請締切日時,令和元年12月23日（月）15時00分,300365026,300365026-54,
54,提出方法：電子入札システムにより提出,,,300365026,300365026-55,
55,（５）入札書の提出期限,,,300365026,300365026-56,
56,令和元年12月25日（水）10時00分,入札書締切日時,令和元年12月25日（水）10時00分,300365026,300365026-57,
57,提出方法：電子入札システムにより提出,,,300365026,300365026-58,
58,（６）開札の日時及び場所,,,300365026,300365026-59,
59,令和元年12月25日（水）10時15分,開札日時,令和元年12月25日（水）10時15分,300365026,300365026-60,
60,〒261-0025 千葉県千葉市美浜区浜田一丁目２番２号,開札場所,〒261-0025千葉県千葉市美浜区浜田一丁目2番2号,300365026,300365026-61,
61,独立行政法人石油天然ガス・金属鉱物資源機構 技術センター,,,300365026,300365026-62,
62,４．入札保証金及び契約保証金に関する事項,,,300365026,300365026-63,
63,全額免除,,,300365026,300365026-64,
64,５．その他必要な事項,,,300365026,300365026-65,
65,（１）入札の無効,,,300365026,300365026-66,
66,競争に参加する資格を有しない者がした入札及び入札の条件に違反した入札は無効,,,300365026,300365026-67,
67,とする。,,,300365026,300365026-68,
68,（２）契約書作成の要否,,,300365026,300365026-69,
69,要,,,300365026,300365026-70,
70,（３）落札者の決定方法,,,300365026,300365026-71,
71,予定価格の制限の範囲内で有効な入札を行った者のうち、最も低い価格をもって入札,,,300365026,300365026-72,
72,した者を落札者とする。,,,300365026,300365026-73,
73,（４）手続きにおける交渉の有無,,,300365026,300365026-74,
74,無,,,300365026,300365026-75,
75,（５）電子入札システムに障害等が発生した場合に、入開札手続きを変更することがある。,,,300365026,300365026-76,
76,○契約の公表に係る留意事項,,,300365026,300365026-77,
77,独立行政法人が行う契約については、「独立行政法人の事務・事業の見直しの基本方針」,,,300365026,300365026-78,
78,（平成２２年１２月７日閣議決定）において、独立行政法人と一定の関係を有する法人と契,,,300365026,300365026-79,
79,約をする場合には、当該法人への再就職の状況、当該法人との間の取引等の状況について情,,,300365026,300365026-80,
80,報を公開するなどの取組を進めるとされているところです。,,,300365026,300365026-81,
81,これに基づき、以下のとおり、当機構との関係に係る情報を当機構のホームページで公表,,,300365026,300365026-82,
82,することとしますので、所要の情報の当機構への提供及び情報の公表に同意の上で、応札若,,,300365026,300365026-83,
83,しくは応募又は契約の締結を行っていただくよう御理解と御協力をお願いいたします。,,,300365026,300365026-84,
84,なお、案件への応札若しくは応募又は契約の締結をもって同意されたものとみなさせていた,,,300365026,300365026-85,
85,だきますので、ご了知願います。,,,300365026,300365026-86,
86,（１）公表の対象となる契約先,,,300365026,300365026-87,
87,次のいずれにも該当する契約先,,,300365026,300365026-88,
88,① 当機構において役員を経験した者（役員経験者）が再就職していること又は課長相,,,300365026,300365026-89,
89,当職以上の職を経験した者（課長相当職以上経験者）が役員、顧問等として再就職,,,300365026,300365026-90,
90,していること,,,300365026,300365026-91,
91,② 当機構との間の取引高が、総売上高又は事業収入の３分の１以上を占めていること,,,300365026,300365026-92,
92,※予定価格が一定の金額を超えない契約や光熱水費の支出に係る契約等は対象外,,,300365026,300365026-93,
93,（２）公表する情報,,,300365026,300365026-94,
94,上記に該当する契約先について、契約ごとに、物品役務等の名称及び数量、契約締結日、,,,300365026,300365026-95,
95,契約先の名称、契約金額等と併せ、次に掲げる情報を公表します。,,,300365026,300365026-96,
96,① 当機構の役員経験者及び課長相当職以上経験者（当機構ＯＢ）の人数、職名及び,,,300365026,300365026-97,
97,当機構における最終職名,,,300365026,300365026-98,
98,② 当機構との間の取引高,,,300365026,300365026-99,
99,③ 総売上高又は事業収入に占める当機構との間の取引高の割合が、次の区分のいずれかに該当する旨,,,300365026,300365026-100,
100,３分の１以上２分の１未満、２分の１以上３分の２未満又は３分の２以上,,,300365026,300365026-101,
101,④ 一者応札又は一者応募である場合はその旨,,,300365026,300365026-102,
102,（３）当機構に提供していただく情報,,,300365026,300365026-103,
103,① 契約締結日時点で在職している当機構ＯＢに係る情報（人数、現在の職名及び当機,,,300365026,300365026-104,
104,構における最終職名等）,,,300365026,300365026-105,
105,② 直近の事業年度における総売上高又は事業収入及び当機構との間の取引高,,,300365026,300365026-106,
106,（４）公表日,,,300365026,300365026-107,
